Keyword,URL,Category,Sub-Category
flats in koramangala,https://www.99acres.com/flats-in-koramangala-bangalore,Real Estate,Flats
property in whitefield,https://www.magicbricks.com/property-for-sale/whitefield,Real Estate,Property
apartments in hinjewadi,https://housing.com/apartments-in-hinjewadi-pune,Real Estate,Apartments
villas in electronic city,https://www.99acres.com/villas-in-electronic-city,Real Estate,Villas
pg in indiranagar,https://www.sulekha.com/pg/indiranagar-bangalore,Real Estate,PG / Paying Guest
hospital in bandra,https://www.practo.com/mumbai/bandra/hospitals,Healthcare,Hospitals
school in wakad,https://www.sulekha.com/schools/wakad-pune,Education,Schools
gym in aundh,https://www.sulekha.com/gym/aundh-pune,Services,Gym / Fitness
dentist in kothrud,https://www.practo.com/pune/kothrud/dentists,Healthcare,Dentists
hotel in andheri,https://www.booking.com/hotel/andheri-mumbai,Services,Stay
caterers for birthday party,https://www.sulekha.com/caterers/,Food & Dining,Caterers
electrician for home wiring,https://www.sulekha.com/electricians/,Services,Electricians
tax consultant near me,https://www.sulekha.com/tax-consultants/,Legal & Finance,Tax Consultants
advocate for divorce,https://www.sulekha.com/advocates/,Legal & Finance,Advocates
car accessories shop,https://www.sulekha.com/car-accessories/,Automotive,Car Accessories
spa near me for couples,https://www.sulekha.com/spa/,Services,Spa
veterinary clinic near me,https://www.sulekha.com/veterinary/,Healthcare,Veterinary
orthopaedic doctor near me,https://www.practo.com/doctors/orthopaedic,Healthcare,Doctors
gynecologist in pune,https://www.practo.com/pune/gynecologist,Healthcare,Gynecologist
pediatrician near me,https://www.practo.com/doctors/pediatrician,Healthcare,Doctors
skin clinic in bangalore,https://www.sulekha.com/skin-clinics/bangalore,Healthcare,Skin Clinics
pathology lab near me,https://www.sulekha.com/pathology/,Healthcare,Pathology Labs
daycare center for toddlers,https://www.sulekha.com/daycare/,Education,Day Care
creche near office,https://www.sulekha.com/creche/,Education,Creche
montessori school admission,https://www.sulekha.com/montessori/,Education,Montessori
coaching for iit jee,https://www.sulekha.com/coaching/iit-jee,Education,Coaching
plots in hadapsar,https://www.99acres.com/plots-in-hadapsar-pune,Real Estate,Plots
supermarket near me,https://www.sulekha.com/supermarket/,Shopping,Supermarket
clothing stores in mumbai,https://www.sulekha.com/clothing/mumbai,Shopping,Clothing
car dealer near me,https://www.sulekha.com/car-dealers/,Automotive,Car Dealers
ayurvedic doctor near me,https://www.sulekha.com/ayurvedic/,Healthcare,Ayurvedic
nature reserve near pune,https://www.sulekha.com/nature_reserve/pune,Services,Nature_Reserve
photography studio,https://www.sulekha.com/photography/,Services,Photography
best tuition for class 10,https://www.sulekha.com/tuitions/,Education,Tuitions
college admission help,https://www.sulekha.com/colleges/,Education,Colleges
property in btm layout,https://www.magicbricks.com/property-for-sale/btm-layout,Real Estate,Property
garden landscape services,https://www.sulekha.com/garden/landscape,Legal & Finance,Chartered Accountants
training institute for data science,https://www.sulekha.com/training/data-science,Education,Training
rent flat in sector 17,https://www.99acres.com/flats-for-rent-in-sector-17,Real Estate,Flats
best restaurant in baner,https://www.zomato.com/pune/baner-restaurants,Food & Dining,Restaurants
online food order in katraj,https://www.swiggy.com/pune/katraj,Food & Dining,Food Delivery
hotel near railway station,https://www.booking.com/hotel/near-railway-station,Services,Stay
hostel in viman nagar,https://www.sulekha.com/hostel/viman-nagar-pune,Real Estate,Hostel
paying guest in marathahalli,https://www.sulekha.com/paying-guest/marathahalli,Real Estate,PG / Paying Guest
jobs in hyderabad IT,https://www.naukri.com/jobs-in-hyderabad,Jobs,Job Portal
best hospital in madhapur,https://www.practo.com/hyderabad/madhapur/hospitals,Healthcare,Hospitals
flats in gachibowli,https://www.99acres.com/flats-in-gachibowli-hyderabad,Real Estate,Flats
wedding venue near me,https://www.sulekha.com/wedding/venues,Services,Wedding Services
bakery cake order online,https://www.sulekha.com/bakery/online-order,Food & Dining,Bakery
AC installation service,https://www.sulekha.com/ac-repair/installation,Services,AC Repair
